title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A review on the attention mechanism of deep learning,"Z Niu, G Zhong, H Yu",2021,4097,"… -art attention models proposed in recent years. Toward a better general understanding of attention mechanisms, we define a unified model that is suitable for most attention structures. …",2BmMArIDz08J,"Z Niu, G Zhong, H Yu - Neurocomputing, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S092523122100477X,unknown,unknown
A general survey on attention mechanisms in deep learning,"G Brauwers, F Frasincar",2021,876,"… In this section, attention mechanisms are explained and categorized according to the presented taxonomy. Section 4 provides an overview of performance measures and methods for …",-ZGlTxy8jysJ,"G Brauwers, F Frasincar - IEEE transactions on knowledge and …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9609539/,unknown,unknown
Research progress in attention mechanism in deep learning,"JW Liu, J LIU, X LUO",2021,191,"… , attention mechanism is an efficient information selection and widely used in deep learning fields … This survey first briefly introduces the origin of the attention mechanism and defines a …",1GbGU5H7rmsJ,"JW Liu, J LIU, X LUO - Chinese Journal of Engineering, 2021 - cje.ustb.edu.cn",[],http://cje.ustb.edu.cn/en/article/doi/10.13374/j.issn2095-9389.2021.01.30.005,unknown,unknown
Attention mechanisms in deep learning: Towards explainable artificial intelligence,"NEH Dehimi, Z Tolba",2024,55,"… In summary, attention mechanisms in deep learning provide transparency and interpretability by focusing on relevant parts of the input data, whereas black box models excel at …",WqImoD3_X4IJ,"NEH Dehimi, Z Tolba - 2024 6th International conference on …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10541203/,unknown,unknown
Attention mechanisms and deep learning for machine vision: A survey of the state of the art,"AM Hafiz, SA Parah, RUA Bhat",2021,106,"… In the next sub-section, we turn to another important category of techniques of attention mechanisms and deep learning in machine vision, namely CNN transformer pipelines. …",Ht1fRYdi4swJ,"AM Hafiz, SA Parah, RUA Bhat - arXiv preprint arXiv:2106.07550, 2021 - arxiv.org",[],https://arxiv.org/abs/2106.07550,unknown,unknown
Examining attention mechanisms in deep learning models for sentiment analysis,"S Kardakis, I Perikos, F Grivokostopoulou…",2021,109,"… under various deep neural models, training methods and hyperparameters. Even though attention mechanisms are a powerful recent concept in the field of deep learning, their exact …",ctej7WVgfX0J,"S Kardakis, I Perikos, F Grivokostopoulou… - Applied Sciences, 2021 - mdpi.com",[],https://www.mdpi.com/2076-3417/11/9/3883,unknown,unknown
Effect of attention mechanism in deep learning-based remote sensing image processing: A systematic literature review,"S Ghaffarian, J Valente, M Van Der Voort…",2021,251,"… with an embedded attention mechanism for RS image … of attention mechanism in the performance of deep learning-… in publications, using attention mechanism-based DL (At-DL) …",CnrMTGfeWiAJ,"S Ghaffarian, J Valente, M Van Der Voort… - Remote Sensing, 2021 - mdpi.com",[],https://www.mdpi.com/2072-4292/13/15/2965,unknown,unknown
Deep learning attention mechanism in medical image analysis: Basics and beyonds,"X Li, M Li, P Yan, G Li, Y Jiang, H Luo…",2023,360,… mechanism is a research hotspot and has achieved state-of-the-art results in many medical image tasks. This paper reviews the deep learning attention … of the attention mechanism. For …,0YTFmWwMbiQJ,"X Li, M Li, P Yan, G Li, Y Jiang, H Luo… - International Journal of …, 2023 - sciltp.com",[],https://www.sciltp.com/journals/ijndi/article/view/173,unknown,unknown
Enhancing Explainability in Deep Learning Models Using Hybrid Attention Mechanisms,"S Banerjee, SK Parisa",2024,40,… The increasing complexity of deep learning models has raised concerns about their interpretability and transparency. This paper introduces a novel hybrid attention mechanism that …,W0ILKda7BscJ,"S Banerjee, SK Parisa - American Journal of AI & Innovation, 2024 - researchgate.net",[],https://www.researchgate.net/profile/Somnath-Banerjee-13/publication/391460958_Enhancing_Explainability_in_Deep_Learning_Models_Using_Hybrid_Attention_Mechanisms/links/68197a39bd3f1930dd6ca381/Enhancing-Explainability-in-Deep-Learning-Models-Using-Hybrid-Attention-Mechanisms.pdf,unknown,unknown
Deep learning-based identification of maize leaf diseases is improved by an attention mechanism: Self-attention,"X Qian, C Zhang, L Chen, K Li",2022,109,"… The attention mechanism of this article will be based on these tokens to identify those … with our model based on the attention mechanism, and they both prefer critical information. …",DzhLUPKNSBUJ,"X Qian, C Zhang, L Chen, K Li - Frontiers in plant science, 2022 - frontiersin.org",[],https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.864486/full,unknown,unknown
A review on speech emotion recognition using deep learning and attention mechanism,"E Lieskovská, M Jakubec, R Jarina, M Chmulík",2021,282,"… To the best of the authors’ knowledge, none of the other reviews or surveys (listed in Table 2) deal with attention mechanism in more detail; hence, we consider it to be our main …",Oa_6-nsejhwJ,"E Lieskovská, M Jakubec, R Jarina, M Chmulík - Electronics, 2021 - mdpi.com",[],https://www.mdpi.com/2079-9292/10/10/1163,unknown,unknown
End-to-end deep learning architecture for continuous blood pressure estimation using attention mechanism,"H Eom, D Lee, S Han, YS Hariyani, Y Lim, I Sohn…",2020,166,"… -end deep learning architecture … attention mechanism. The proposed model consisted of a convolutional neural network, a bidirectional gated recurrent unit, and an attention mechanism…",1WEUG1m-twAJ,"H Eom, D Lee, S Han, YS Hariyani, Y Lim, I Sohn… - Sensors, 2020 - mdpi.com",[],https://www.mdpi.com/1424-8220/20/8/2338,unknown,unknown
