id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2606.19949v1,Semi-Automatic Correction of 3D Tubular Structure Skeletons via Component-Wise MST and Filtered Delaunay Triangulation,"['Ruoxuan Yang', 'Chuan Li']","Skeletonization of tubular structures from 3D imaging is essential for tasks such as morphometric analysis, transport or flow simulation, and procedural planning in domains including vascular networks, plant root systems, and neural connectomes. However, automatic skeleton extraction often introduces topological artifacts, such as erroneous connections between nearby branches and fragmented centerlines caused by noise or missing data. Correcting these artifacts manually can be time-consuming and error-prone, especially when precise interaction is required.
  We present a semi-automatic correction method that reconstructs a plausible centerline connection from minimal user input. Given a user-selected source and target point, our method traces a path by combining (i) component-wise minimum spanning trees for stable local propagation and (ii) a filtered 3D Delaunay edge graph for bridging gaps and handling ambiguous junctions. Candidate steps are ranked using a score that accounts for direction continuity, spatial proximity, component consistency, and target-directed progress. The output is an ordered polyline (or edge sequence) that can be used as a suggested correction and integrated into downstream skeleton post-processing workflows.
  We implement the system in C++ with an interactive viewer based on Libigl and demonstrate representative qualitative results on brain vessel datasets, including correction of typical ""crossing"" and ""dotted"" artifacts. While our current validation is qualitative, the method is lightweight and serves as a practical building block toward more comprehensive interactive correction pipelines in biomedical imaging and related domains.",['cs.CG'],2026-06-18T08:47:54+00:00,https://arxiv.org/pdf/2606.19949v1,arxiv://2606.19949v1,1,30
2606.19739v1,Robust probabilistic measurement of structural-functional module consistency in infant brain development,"['Lingbin Bian', 'Feihong Liu', 'Qian Wang', 'Han Zhang', 'Dinggang Shen', 'the UNC/UMN Baby Connectome Project Consortium']","Brain network is commonly divided into modules for analyzing their functionally segregated roles for group-level analysis in neuroimaging studies. Here, we introduce stochastic modules within brain networks for a robust probabilistic measurement of structural-functional module consistency (SFMC) in a group of subjects. Specifically, a stochastic module can be regarded as the chance of a brain region across subjects potentially being assigned to a group-level sub-network, characterized as an assignment probability for this brain region. This novel method has two advantages for evaluating inhomogeneous modules in brain networks. The first is that it can robustly evaluate the consistency between brain structural and functional modules whose population sizes are not necessary the same, and the second is that it is able to take into account the inter-individual variability of the modules for the groups. Moreover, compared with the conventional structural-functional coupling approach, our stochastic module-based method reveals a more pronounced decline in the coupling between structure and function, indicating stronger developmental reorganization. Our results using the dataset from Baby Connectome Project (BCP) show that the SFMC decreases from 0 to 5 years old, and is greater in primary brain regions, such as visual areas, while lower in more advanced cognitive regions, including those related to attention, control, and default mode network.",['q-bio.NC'],2026-06-18T03:12:19+00:00,https://arxiv.org/pdf/2606.19739v1,arxiv://2606.19739v1,2,30
2606.16294v1,Sex-based Network-Specific Differences in Connectomes: A Krakencoder-Based Analysis,"['Vibhashree S H', 'Debanjali Bhattacharya', 'Vamshi Krishna Kancharla', 'Neelam Sinha']","This study examines how deficiencies in one brain connectome modality propagate to the other, using the Krakencoder as a simulation framework. Structural and functional connectomes from 702 healthy participants in the Human Connectome Project were analyzed, with the impact of each of the Yeo-7 functional networks assessed separately. Seven scenarios were considered, each involving the removal of a single network while the remaining networks were preserved. The resulting perturbations in cross-modal predictions were quantified using three complementary metrics: KL divergence on eigenvalue spectra, Frobenius norm, and Wasserstein distance. In addition, the persistence of sex-specific information within the predicted connectomes was evaluated. Across all metrics and both prediction directions, the Default Mode Network produced the largest perturbations, whereas the Somatomotor network yielded the smallest. Sex differences in network-level perturbation signatures were subtle, with the best result being an accuracy of 66.09% from connectomes predicted under network-removal conditions. In contrast, connectomes predicted from intact inputs achieved substantially higher sex classification accuracy, reaching up to 84.76%. These findings confirm that full predicted connectomes retain considerably more sex-discriminative information than perturbation-derived signatures alone.","['cs.CV', 'q-bio.NC']",2026-06-15T06:56:05+00:00,https://arxiv.org/pdf/2606.16294v1,arxiv://2606.16294v1,3,30
2606.01237v1,Brain-Atlas-Guided Generative Counterfactual Attention for Explainable Cognitive Decline Diagnosis Using Multimodal Connectomes,"['Xiongri Shen', 'Jiaqi Wang', 'Zhenxi Song', 'Yi Zhong', 'Leilei Zhao', 'Xin He', 'Baiying Lei', 'Zhiguo Zhang']","Mild cognitive impairment (MCI) and subjective cognitive decline (SCD) are closely associated with the early Alzheimer's disease continuum, where accurate and explainable diagnosis is important for early risk assessment and intervention. Existing connectome-based deep learning models can improve classification performance but often provide limited insight into disease-related functional and structural connectivity changes. This paper proposes an atlas-knowledge-guided Generative Counterfactual Attention-guided Network (GCAN) for explainable cognitive decline diagnosis using multimodal brain connectomes. GCAN formulates diagnosis as a source-to-target counterfactual generation problem, where target-label connectomes are generated from source-label inputs and their differences are used to construct counterfactual attention maps. To preserve connectome topology, an Atlas-aware Bidirectional Transformer (AABT) performs network-level token encoding and decoding under brain-atlas constraints. The framework is further extended from functional connectivity (FC) to joint functional and structural connectivity (SC) modeling, enabling counterfactual analysis of complementary functional reorganization and structural topology changes. Experiments on hospital-collected and ADNI datasets show that GCAN achieves competitive performance across HC vs. SCD, HC vs. MCI, and SCD vs. MCI classification tasks. Visualization, circular connectome analysis, CAM-based comparison, ablation studies, and confidence interval analysis further support the interpretability and reliability of the proposed framework. Modality-specific FC and SC pre-trained classifiers are used to provide target-state priors for counterfactual generation while being separated from the downstream diagnostic classifier to prevent data leakage.",['cs.AI'],2026-05-31T13:39:11+00:00,https://arxiv.org/pdf/2606.01237v1,arxiv://2606.01237v1,4,30
2605.13312v1,Supervised Deep Multimodal Matrix Factorization for Interpretable Brain Network Analysis,"['Amjad Seyedi', 'Lifang He', 'Songlin Zhao', 'Akwum Onwunta', 'Nicolas Gillis']","We present Supervised Deep Multimodal Matrix Factorization (SD3MF), an interpretable framework for integrative brain network analysis that generalizes Symmetric Nonnegative Matrix Tri-Factorization (SNMTF) from unsupervised single-graph clustering to supervised prediction over populations of multimodal graphs. SD3MF learns deep hierarchical factorizations for each modality together with a shared latent representation that aligns subjects across views. An encoder-decoder formulation jointly optimizes graph reconstruction and supervised prediction, while adaptive weights enable data-driven multimodal fusion. By representing each subject through community-level interaction matrices, the model yields interpretable and discriminative features. Experiments on multimodal connectome datasets show that SD3MF consistently outperforms strong deep learning baselines such as CNNs and GNNs, while enabling biologically interpretable insights. Code for reproducibility is available at: https://github.com/amjadseyedi/SD3MF.",['cs.LG'],2026-05-13T10:26:18+00:00,https://arxiv.org/pdf/2605.13312v1,arxiv://2605.13312v1,5,30
2605.12901v1,A Bayesian Adaptive Latent Mixture Model for Zero-Inflated Weighted Brain Connectome Analysis,"['Hsin-Hsiung Huang', 'Yuh-Haur Chen', 'Teng Zhang']","Replicated weighted networks often exhibit many structural zeros alongside heterogeneous non-zero edge strengths. In structural connectomics, this zero-inflation coincides with subjects expressing overlapping, rather than discrete, connectivity patterns. To address these features, we propose a Bayesian adaptive latent mixture model for zero-inflated weighted networks. Our approach represents each subject network as a simplex mixture of shared low-rank latent score matrices, integrated with a hurdle likelihood that separates edge existence from conditional edge strength. A sparsity-coupling parameter enables absent edges to be either independent of, or informative about, the latent connectivity. For computation, we employ transformed Hamiltonian Monte Carlo on unconstrained coordinates, selecting the number of templates via predictive fit, held-out link prediction, and template stability. Theoretically, we establish posterior consistency, local asymptotic normality, a Bernstein--von Mises approximation, and predictive consistency for an identifiable quotient-space estimand under a fixed-template scenario. Simulations demonstrate performance gains over topology-only baselines in settings with mixed memberships or structure-informed sparsity. Applied to Human Connectome Project data, the model recovers stable latent score patterns and heterogeneous subject-level mixtures, with behavioural analyses serving strictly as exploratory annotations rather than confirmatory biomarker claims.","['stat.ME', 'stat.AP', 'stat.CO']",2026-05-13T02:25:09+00:00,https://arxiv.org/pdf/2605.12901v1,arxiv://2605.12901v1,6,30
2604.18470v1,High-fidelity and Network-based Spatio-temporal Mathematical Models of Alzheimer's Disease Progression and their Validation Against PET-SUVR Imaging Data,"['Beatrice Caon', 'Mattia Corti', 'Francesca Bonizzoni', 'Paola F. Antonietti']","Alzheimer's disease is the most common neurodegenerative disorder. Its pathological development is connected with the misfolding and accumulation of two toxic proteins: amyloid-beta and tau proteins. Mathematical models provide a valuable quantitative tool for monitoring disease progression. In this work, we proposed and compare a novel framework where the spatio-temporal dynamics of amyloid-beta and tau proteins is modeled based on employing either three-dimensional patient-specific geometries or through reduced network-based models defined on the brain connectome. More specifically, a high-fidelity biophysical model is proposed on three-dimensional brain geometries reconstructed from magnetic resonance imaging, whereas a network-based reduced formulation is defined on the brain connectome. For both approaches, a suitable numerical discretisation is proposed. A sensitivity analysis is presented to quantify the influence of model parameters on protein concentration patterns as well as compare the quality of the predictions. For both approaches, the results are validated against PET-SUVR clinical data using 18FAZD4694 for amyloid-beta and 18FMK6240 for tau protein. The results indicate that the three-dimensional model provides the most accurate and biologically consistent description of the disease progression, but remains computationally demanding. On the other hand, the reduced graph-based model is cheaper, but it is not always able to achieve reliable results.","['math.NA', 'q-bio.NC']",2026-04-20T16:22:22+00:00,https://arxiv.org/pdf/2604.18470v1,arxiv://2604.18470v1,7,30
2604.02057v1,Thermodynamic connectivity reveals functional specialization and multiplex organization of extrasynaptic signaling,"['Giridhar Sunil', 'Habib Benali', 'Elkaïoum M. Moutuou']","Neural communication operates on both fast synaptic transmission and slower, diffusive extrasynaptic signaling, yet how these two modes jointly organize brain function remains unclear. Here, using the complete synaptic and neuropeptidergic connectomes of \emph{Caenorhabditis elegans}, we develop a unified multiplex framework linking anatomical wiring to functional communication. We infer structure-derived functional connectivity from the synaptic connectome using equilibrium principles from statistical physics, yielding a probabilistic map of information flow across all synaptic pathways, and compare this functional layer directly with the extrasynaptic connectome. This reveals a principled functional specialization across four communication regimes: (i) a topology-dependent layer that reinforces and stabilizes synaptic motor circuits, (ii) a topology-resilient modulatory layer supporting global regulation and behavioral state control, (iii) a purely extrasynaptic network sustaining survival and homeostasis, and (iv) a purely synaptic regime mediating rapid, low-latency sensorimotor processing. Together, these findings reveal that synaptic and extrasynaptic signaling form complementary architectures optimized for speed, modulation, robustness, and survival, and provide a general strategy for integrating structural and modulatory connectomes to understand how distinct communication modes cooperate to sustain coherent brain function.","['q-bio.NC', 'cond-mat.dis-nn', 'nlin.AO', 'physics.bio-ph', 'physics.data-an']",2026-04-02T13:55:40+00:00,https://arxiv.org/pdf/2604.02057v1,arxiv://2604.02057v1,8,30
2603.21032v1,Integrative Predictor-Dependent Learning of Network Data and Spatially Correlated Nodal Attributes for Multimodal Brain Imaging in Aging,"['Jose Rodriguez-Acosta', 'Sharmistha Guha', 'Jessica Bernard', 'Thamires Magalhaes', 'Kaitlin McOwen']","This article introduces a predictor-dependent joint modeling framework for network data obtained from multiple subjects over a shared set of nodes with spatial co-ordinates and spatially correlated nodal attributes. The framework is highly flexible, allowing concurrent inference on nodes significantly associated with a predictor, spatial associations of nodal attributes and the regression relationship between a predictor and edge connecting a pair of nodes or a specific nodal attribute. Empirical results indicate a superior performance of the proposed approach due to accounting for network structure and spatial correlation in the data simultaneously. The methodology analyzes multimodal brain imaging data collected first-hand in the coauthor's Lifespan Cognitive and Motor Neuroimaging Laboratory, with a focus on integrating structural and functional information. It examines brain connectivity, represented as a connectome network across regions of interest (ROIs) derived from functional magnetic resonance imaging (fMRI), while also incorporating ROI-specific attributes obtained from structural MRI data, for each subject. Subject-specific aging-related features and spatial locations of ROIs are incorporated in the analysis. This framework facilitates robust inference on the associations between predictors and brain connectivity patterns, the spatial relationships among ROI-specific attributes, and the regression relationships involving edges or ROI-specific attributes with aging-related predictors. By integrating these diverse data sources, the approach provides a deeper understanding of the complex interplay between brain structure, function, aging-related changes, and external predictors. As a model-based Bayesian approach, it provides uncertainty quantification for all inferences, offering robust and reliable results, particularly in scenarios with limited sample size.","['stat.AP', 'stat.ME']",2026-03-22T03:05:53+00:00,https://arxiv.org/pdf/2603.21032v1,arxiv://2603.21032v1,9,30
2603.08108v2,Tau-BNO: Brain Neural Operator for Tau Transport Model,"['Nuutti Barron', 'Heng Rao', 'Urmi Saha', 'Yu Gu', 'Zhenghao Liu', 'Ge Yu', 'Defu Yang', 'Ashish Raj', 'Minghan Chen']","Mechanistic modeling provides a biophysically grounded framework for studying the spread of pathological tau protein in tauopathies like Alzheimer's disease. Existing approaches typically model tau propagation as a diffusive process on the brain's structural connectome, reproducing macroscopic patterns but neglecting microscale cellular transport and reaction mechanisms. The Network Transport Model (NTM) was introduced to fill this gap, explaining how region-level progression of tau emerges from microscale biophysical processes. However, the NTM faces a common challenge for complex models defined by large systems of partial differential equations: the inability to perform parameter inference and mechanistic discovery due to high computational burden and slow model simulations. To overcome this barrier, we propose Tau-BNO, a Brain Neural Operator surrogate framework for rapidly approximating NTM dynamics that captures both intra-regional reaction kinetics and inter-regional network transport. Tau-BNO combines a function operator that encodes kinetic parameters with a query operator that preserves initial state information, while approximating anisotropic transport through a spectral kernel that retains directionality. Empirical evaluations demonstrate high predictive accuracy ($R^2\approx$ 0.98) across diverse biophysical regimes and an 89\% performance improvement over state-of-the-art sequence models like Transformers and Mamba, which lack inherent structural priors. By reducing simulation time from hours to seconds, we show that the surrogate model is capable of producing new insights and generating new hypotheses. This framework is readily extensible to a broader class of connectome-based biophysical models, showcasing the transformative value of deep learning surrogates to accelerate analysis of large-scale, computationally intensive dynamical systems.","['cs.CE', 'cs.LG']",2026-03-09T08:52:02+00:00,https://arxiv.org/pdf/2603.08108v2,arxiv://2603.08108v2,10,30
2602.01551v2,Bayesian brain mapping: a population-informed framework for personalized functional network topography and connectivity,"['Nohelia Da Silva Sanchez', 'Diego Derman', 'Damon D. Pham', 'Ellyn R. Butler', 'Mary Beth Nebel', 'Amanda F. Mejia']","The spatial topography of functional brain organization is increasingly recognized to play an important role in cognition and disease. Accounting for individual differences in functional topography is also crucial for accurately distinguishing spatial and temporal aspects of functional brain connectivity. Yet, accurate estimation of personalized functional brain networks from functional magnetic resonance imaging (fMRI) without extensive scanning remains challenging due to high noise levels. Here, we describe Bayesian Brain Mapping (BBM), a technique for personalized functional topography and connectivity informed by population information. BBM relies on population-derived priors on both spatial topography of networks and between-network functional connectivity to guide subject-level estimation and combat noise. These priors are based on existing spatial templates, such as parcellations or continuous network maps, providing correspondence to those templates. Yet BBM is highly flexible, avoiding strong spatial or temporal constraints and allowing for overlap between networks and heterogeneous patterns of engagement. BBM is designed for single-subject analysis, making it computationally efficient and translatable to clinical settings. Here, we describe the BBM model and illustrate the use of the BayesBrainMap R package to construct population-derived priors, fit the model, and perform inference to identify engagements. A demo is provided in an accompanying Github repo. We also share priors derived from the Human Connectome Project and provide code to support the construction of priors from different data sources, lowering the barrier to adoption of BBM for studies of individual brain organization.",['stat.AP'],2026-02-02T02:40:59+00:00,https://arxiv.org/pdf/2602.01551v2,arxiv://2602.01551v2,11,30
