title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
GRETNA: a graph theoretical network analysis toolbox for imaging connectomics,"J Wang, X Wang, M Xia, X Liao, A Evans…",2015,1782,"… will facilitate graph-based brain network studies, particularly those based on R-fMRI data. Currently, the Gretna has been successfully applied to many previous connectome studies (He …",4OyoqL7rN5EJ,"J Wang, X Wang, M Xia, X Liao, A Evans… - … in human neuroscience, 2015 - frontiersin.org",[],https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2015.00386/full,unknown,unknown
Network neuroscience,"DS Bassett, O Sporns",2017,3415,"… network neuroscience and attempt to chart a path toward a better understanding of the brain … of structural connections among neurons and brain areas (connectomics), the physiological …",rk-3AYb1i4UJ,"DS Bassett, O Sporns - Nature neuroscience, 2017 - nature.com",[],https://www.nature.com/articles/nn.4502,unknown,unknown
Brain graphs: graphical models of the human brain connectome,"ET Bullmore, DS Bassett",2011,1507,"… brain graphs is the focus of this article, although we also briefly describe the construction of directed and/or weighted brain graphs… a graph model for the human functional connectome …",tPE0vbEoYfoJ,"ET Bullmore, DS Bassett - Annual review of clinical psychology, 2011 - annualreviews.org",[],https://www.annualreviews.org/content/journals/10.1146/annurev-clinpsy-040510-143934,unknown,unknown
Graph theory methods: applications in brain networks,O Sporns,2018,895,"… Network neuroscience is a thriving and rapidly expanding field. Empirical data on brain networks, … connectivity have given rise to the emerging field of connectomics, Citation12,Citation…",2eMSFIcH5hwJ,"O Sporns - Dialogues in clinical neuroscience, 2018 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.31887/DCNS.2018.20.2/osporns,unknown,unknown
Graph neural networks in network neuroscience,"A Bessadok, MA Mahjoub…",2022,458,"… While it presents an attractive opportunity for network neuroscience, only a few GNN architectures have so far been applied to the brain connectome and the most used GNN model is …",rdenQRHXJ0AJ,"A Bessadok, MA Mahjoub… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9903566/,unknown,unknown
Application of graph theory for identifying connectivity patterns in human brain networks: a systematic review,"FV Farahani, W Karwowski, NR Lighthall",2019,926,… graph theory and its implications in cognitive neuroscience have attracted the attention of researchers since 2009 (as the Human Connectome … graph theory and network neuroscience (…,EKP42KI55Z8J,"FV Farahani, W Karwowski, NR Lighthall - frontiers in Neuroscience, 2019 - frontiersin.org",[],https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2019.00585/full,unknown,unknown
Interpretable graph neural networks for connectome-based brain disorder analysis,"H Cui, W Dai, Y Zhu, X Li, L He, C Yang",2022,161,… Brain networks (aka the connectome) are complex graphs … Interpretable models on brain networks for disorder analysis … disorders and neuroscience research [27]. Previous work on …,v7k5X4S8vksJ,"H Cui, W Dai, Y Zhu, X Li, L He, C Yang - International conference on …, 2022 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-16452-1_36,unknown,unknown
Neurograph: Benchmarks for graph machine learning in brain connectomics,"A Said, R Bayrak, T Derr, M Shabbir…",2023,71,"… Within the dynamic context, we define a sequence of brain graphs over T timepoints, denoted as G = {G1,G2,...GT }, wherein each graph Gt captured at index t to t + Γ from the fMRI scan. …",Tk6kablmQfcJ,"A Said, R Bayrak, T Derr, M Shabbir… - Advances in …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/14f656f21d09a4114666f60a45aab1aa-Abstract-Datasets_and_Benchmarks.html,unknown,unknown
BrainNet Viewer: a network visualization tool for human brain connectomics,"M Xia, J Wang, Y He",2013,4835,"… Considering that most of the graph-based brain network analysis toolboxes were developed in a Matlab environment, our toolbox exhibits better compatibility and usability, such as …",Zd1HsM3R8scJ,"M Xia, J Wang, Y He - PloS one, 2013 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068910,unknown,unknown
Network classification with applications to brain connectomics,"JDA Relión, D Kessler, E Levina…",2019,105,… We propose a graph classification method that uses edge weights as predictors but incorporates the network nature of the data via penalties that promote sparsity in the number of nodes…,J-lgWqy-8SUJ,"JDA Relión, D Kessler, E Levina… - The annals of applied …, 2019 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC7785130/,unknown,unknown
