title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Exploring the brain network: a review on resting-state fMRI functional connectivity,"MP Van Den Heuvel, HEH Pol",2010,4479,"… functional connectivity patterns using graph theory, focusing on the overall organization of the functional brain network. … of these new functional connectivity tools in examining believed …",ncT2ouE-LpMJ,"MP Van Den Heuvel, HEH Pol - European neuropsychopharmacology, 2010 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0924977X10000684,unknown,unknown
Graph-based network analysis of resting-state functional MRI,"J Wang, X Zuo, Y He",2010,831,"… DTI-based structural connectivity and R-fMRI based functional connectivity, and largely … of resting-state functional connectivity correlated positively with structural connectivity strength (…",WWa-JKg6T4QJ,"J Wang, X Zuo, Y He - Frontiers in systems neuroscience, 2010 - frontiersin.org",[],https://www.frontiersin.org/journals/systems-neuroscience/articles/10.3389/fnsys.2010.00016/full,unknown,unknown
Spatio-temporal graph convolution for resting-state fMRI analysis,"S Gadgil, Q Zhao, A Pfefferbaum, EV Sullivan…",2020,311,"… to formulate functional connectivity networks within the context of spatio-temporal graphs. … on functional connectivity graphs, ie, spatio-temporal Graph Convolution (ST-GC) [24, 25]. …",R1k58emxhV0J,"S Gadgil, Q Zhao, A Pfefferbaum, EV Sullivan… - … conference on medical …, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-59728-3_52,unknown,unknown
Loss of 'small-world'networks in Alzheimer's disease: graph analysis of FMRI resting-state functional connectivity,"EJ Sanz-Arigita, MM Schoonheim, JS Damoiseaux…",2010,788,… This study demonstrates a graph analysis of resting-state fMRI BOLD time-series of … a measure of functional coupling. The structure of the whole-brain average functional network in the …,i24SwTM3U08J,"EJ Sanz-Arigita, MM Schoonheim, JS Damoiseaux… - PloS one, 2010 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013788,unknown,unknown
Graph theoretic analysis of resting state functional MR imaging,JD Medaglia,2017,105,"… represent and study networks is graph theory, which provides … can apply graph theoretic analysis to anatomic or functional … effort to understand functional brain networks is functional MR …",EZNEUB-Cz-YJ,"JD Medaglia - Neuroimaging Clinics of North America, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1052514917300667,unknown,unknown
Large-scale DCMs for resting-state fMRI,"A Razi, ML Seghier, Y Zhou, P McColgan…",2017,222,… We show that spectral DCM—with functional connectivity priors—is ideally suited for directed graph theoretic analyses of resting-state fMRI. We envision that directed graphs will prove …,-X3RDu-rcLsJ,"A Razi, ML Seghier, Y Zhou, P McColgan… - Network …, 2017 - direct.mit.edu",[],https://direct.mit.edu/netn/article-abstract/1/3/222/2199,unknown,unknown
… of the default mode functional connectivity in normal ageing and Alzheimer's disease using resting state fMRI with a combined approach of entropy-based and graph …,"PJ Toussaint, S Maiz, D Coynel, J Doyon, A Messé…",2014,133,… of resting state functional magnetic resonance imaging (fMRI). Here we investigate functional connectivity within the default mode network (… and AD using resting state fMRI. Images from …,hRO7IKm71HsJ,"PJ Toussaint, S Maiz, D Coynel, J Doyon, A Messé… - Neuroimage, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811914006533,unknown,unknown
Test–retest reliability of resting-state connectivity network characteristics using fMRI and graph theoretical measures,"U Braun, MM Plichta, C Esslinger, C Sauer, L Haddad…",2012,521,"… graph metrics of functional networks derived from functional magnetic resonance imaging (fMRI) recorded in 33 healthy subjects during rest… from the field of graph theory, focusing on the …",k6YGc4SJpGoJ,"U Braun, MM Plichta, C Esslinger, C Sauer, L Haddad… - Neuroimage, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S105381191100961X,unknown,unknown
Resting state fMRI: A review on methods in resting state connectivity analysis and resting state networks,"KA Smitha, K Akhil Raja, KM Arun…",2017,880,… direct causal connections between functionally connected regions. Eventually effective … analysis (ICA) and graph theory analysis for studying rs-fMRI connectivity. For these techniques …,SeGc47VuypUJ,"KA Smitha, K Akhil Raja, KM Arun… - The …, 2017 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/1971400917697342,unknown,unknown
Age-related changes in human brain functional connectivity using graph theory and machine learning techniques in resting-state fMRI data,"S Baghernezhad, MR Daliri",2024,23,"… The purpose of the present study was to investigate brain regions and graph measures that were different in resting state fMRI data in the three age groups using AAL atlas. Also, this …",08lSssEVcZgJ,"S Baghernezhad, MR Daliri - GeroScience, 2024 - Springer",[],https://link.springer.com/article/10.1007/s11357-024-01128-w,unknown,unknown
Understanding graph isomorphism network for rs-fMRI functional connectivity analysis,"BH Kim, JC Ye",2020,217,"… fMRI data using the Graph Isomorphism Network (GIN), which was recently proposed as a powerful GNN for graph … of convolutional neural network (CNN) in the graph space where the …",QuXYlG3j9vcJ,"BH Kim, JC Ye - Frontiers in neuroscience, 2020 - frontiersin.org",[],https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2020.00630/full,unknown,unknown
Decreased small-world functional network connectivity and clustering across resting state networks in schizophrenia: an fMRI classification tutorial,"A Anderson, MS Cohen",2013,132,"… tutorials to perform to identify fMRI artifacts and clean data further … how functional connectivity can be measured in a graph-… ICA, establish functional connectivity and measure the graph …",unmz1DeFV44J,"A Anderson, MS Cohen - Frontiers in human neuroscience, 2013 - frontiersin.org",[],https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2013.00520/full,unknown,unknown
"The frequency dimension of fMRI dynamic connectivity: Network connectivity, functional hubs and integration in the resting brain","WH Thompson, P Fransson",2015,147,… fMRI resting-state signal (0.01–0.1 Hz) in a cohort of 100 subjects. We then apply and compare graph … - and between-network connectivity and presence of functional hubs shift as a …,f06uYD3UZgcJ,"WH Thompson, P Fransson - Neuroimage, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S105381191500631X,unknown,unknown
Graph theoretical analysis of functional brain networks: test-retest evaluation on short-and long-term resting-state functional MRI data,"JH Wang, XN Zuo, S Gohel, MP Milham, BB Biswal…",2011,469,"… functional connectivity matrices rather than graph metrics between scan 2 and scan 3, followed by graph … reliability of graph-based network metrics derived from resting-state fMRI data …",QCUwqrp73VYJ,"JH Wang, XN Zuo, S Gohel, MP Milham, BB Biswal… - PloS one, 2011 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021976,unknown,unknown
Changes of functional brain networks in major depressive disorder: a graph theoretical analysis of resting-state fMRI,"M Ye, T Yang, P Qing, X Lei, J Qiu, G Liu",2015,188,"… Moreover, disruptions in functional connectivity have been observed … resting-state fMRI and graph theoretical analyses to further explore the MDD-related disruptions in functional brain …",sHjW5XAu-EAJ,"M Ye, T Yang, P Qing, X Lei, J Qiu, G Liu - PloS one, 2015 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133775,unknown,unknown
A method for independent component graph analysis of resting‐state fMRI,"D Ribeiro de Paula, E Ziegler…",2017,32,… The evaluation of functional connectivity from resting-state fMRI data is broadly based on two families of analytical methods. Seed-based correlation analysis estimates the relationship …,wWIi1_Ae2VAJ,"D Ribeiro de Paula, E Ziegler… - Brain and …, 2017 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/brb3.626,unknown,unknown
Proportional thresholding in resting-state fMRI functional connectivity networks and consequences for patient-control connectome studies: Issues and …,"MP van den Heuvel, SC de Lange, A Zalesky…",2017,573,… of functional matrices and subsequent graph analysis in patient-control functional … show that differences in overall strength of functional connectivity (FC) – as often observed …,cDsaZH2d9GIJ,"MP van den Heuvel, SC de Lange, A Zalesky… - Neuroimage, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S105381191730109X,unknown,unknown
Graph-theory based parcellation of functional subunits in the brain from resting-state fMRI data,"X Shen, X Papademetris, RT Constable",2010,211,"… the functional network of the … state-of-the-art graph-based partitioning approaches, and investigate their application to the problem of brain network segmentation using resting-state fMRI…",RKfAXQTXM6UJ,"X Shen, X Papademetris, RT Constable - Neuroimage, 2010 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S105381190901427X,unknown,unknown
Identification of voxels confounded by venous signals using resting-state fMRI functional connectivity graph community identification,"K Kalcher, RN Boubela, W Huf, C Našel…",2015,19,… functional connectivity graphs were computed on minimally preprocessed low TR (333 ms) multiband resting-state fMRI … edges in the resulting sparse graph reflect the high coherence of …,D9id3ibpMvkJ,"K Kalcher, RN Boubela, W Huf, C Našel… - Frontiers in …, 2015 - frontiersin.org",[],https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2015.00472/full,unknown,unknown
An introduction to resting state fMRI functional connectivity,"J Bijsterbosch, SM Smith, C Beckmann",2017,297,"… ), which greatly improve the likelihood of resting state fMRI being used in clinical settings. … look-up graphs needed for personalized medicine (similar to the graphs that indicate the …",q_NK2zdE7FcJ,"J Bijsterbosch, SM Smith, C Beckmann - 2017 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=JDwkDwAAQBAJ&oi=fnd&pg=PP1&dq=resting+state+fMRI+functional+connectivity+graph&ots=cbD2_VuZTF&sig=Ms3xjJ5QcfHKJHQ1PWhvmdRMHCc,unknown,unknown
Current methods and new directions in resting state fMRI,"J Yang, S Gohel, B Vachha",2020,145,Resting state functional connectivity magnetic resonance imaging (rsfcMRI) has become a key component of investigations of neurocognitive and psychiatric behaviors. Over the past …,TUhBcR5m8EoJ,"J Yang, S Gohel, B Vachha - Clinical imaging, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0899707120301029,unknown,unknown
