title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Temporal slice registration and robust diffusion-tensor reconstruction for improved fetal brain structural connectivity analysis,"B Marami, SSM Salehi, O Afacan, B Scherrer…",2017,87,… diffusion-tensor MRI (DTI) of the moving fetal brain and show its effect on structural connectivity … small-worldness property of the fetal brain network. These findings comply with previous …,F20ny-_n2EIJ,"B Marami, SSM Salehi, O Afacan, B Scherrer… - NeuroImage, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811917303282,unknown,unknown
Tutorial: a guide to diffusion MRI and structural connectomics,"I Shamir, Y Assaf",2025,25,"… using the classic DTI formula due to its Gaussian-like diffusion properties … types of brain connectivity: structural, functional and effective connectivity, each explored using different MRI …",qLakVGlfrLsJ,"I Shamir, Y Assaf - Nature Protocols, 2025 - nature.com",[],https://www.nature.com/articles/s41596-024-01052-5,unknown,unknown
Heritability of structural brain network topology: a DTI study of 156 twins,"MM Bohlken, RCW Mandl, RM Brouwer…",2014,84,"… Moreover, the extent to which structural brain network topology overlaps with heritability for … In this study, structural network topology was examined using diffusion tensor imaging at 3T. …",4nfnA9NxwfkJ,"MM Bohlken, RCW Mandl, RM Brouwer… - Human brain …, 2014 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.22550,unknown,unknown
Structural brain connectivity in patients with restless legs syndrome: a diffusion tensor imaging study,"KM Park, KT Kim, DA Lee, YW Cho",2022,22,… where they underwent diffusion tensor imaging (DTI) of the brain. We calculated the network measures of global and local structural brain connectivity based on the DTI in both groups …,SJ4NXnMGsYAJ,"KM Park, KT Kim, DA Lee, YW Cho - Sleep, 2022 - academic.oup.com",[],https://academic.oup.com/sleep/article-abstract/45/7/zsac099/6575835,unknown,unknown
Unraveling the multiscale structural organization and connectivity of the human brain: the role of diffusion MRI,"M Bastiani, A Roebroeck",2015,47,"… organization of brain connectivity and anatomy, both in vivo and ex vivo. Diffusion MRI-… When using diffusion tensor imaging (DTI), the single fiber case is reconstructed accurately, …",XOzlw1KFsrkJ,"M Bastiani, A Roebroeck - Frontiers in neuroanatomy, 2015 - frontiersin.org",[],https://www.frontiersin.org/journals/neuroanatomy/articles/10.3389/fnana.2015.00077/full,unknown,unknown
A survey of current trends in diffusion MRI for structural brain connectivity,"A Ghosh, R Deriche",2016,25,"… in diffusion magnetic resonance imaging (dMRI) and we present current trends in modelling the brain's tissue … Diffusion tensor imaging (DTI), one of the first dMRI methods, modelled this …",qxBUkC7SQSEJ,"A Ghosh, R Deriche - Journal of neural engineering, 2016 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1741-2560/13/1/011001/meta,unknown,unknown
The seven deadly sins of measuring brain structural connectivity using diffusion MRI streamlines fibre-tracking,F Calamante,2019,114,"… Diffusion MRI has made a tremendous impact to the way we study structural brain connections in the healthy brain… what is now known as Diffusion Tensor Imaging (DTI), opened up the …",UFvTYE400GgJ,"F Calamante - Diagnostics, 2019 - mdpi.com",[],https://www.mdpi.com/2075-4418/9/3/115,unknown,unknown
"Diffusion tensor imaging: Structural connectivity insights, limitations and future directions",LJ Lanyon,2012,23,… outline of DTI methods and their use in elucidating large-scale brain … DTI tractography then provides information that forms part of the converging evidence about brain connectivity…,JDn2zNdoAqYJ,"LJ Lanyon - Neuroimaging Methods, 2012 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=iXWfDwAAQBAJ&oi=fnd&pg=PA137&dq=structural+brain+connectivity+DTI+diffusion+MRI&ots=2E2IzBp3gY&sig=Ji9mExv_CqveCwzDoNPUEna7Ljs,unknown,unknown
Brain structural and functional connectivity: A review of combined works of diffusion magnetic resonance imaging and electro-encephalography,"P Babaeeghazvini, LM Rueda-Delgado…",2021,181,… Latencies and amplitudes of the ERPs served to compute so-called brain network activation (… than the lesion in visible MRI. The results from EEG and DTI supported the notion that the …,BfFjASKGKpgJ,"P Babaeeghazvini, LM Rueda-Delgado… - Frontiers in Human …, 2021 - frontiersin.org",[],https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2021.721206/full,unknown,unknown
Mapping brain anatomical connectivity using diffusion magnetic resonance imaging: Structural connectivity of the human brain,"J Li, Y Shi, AW Toga",2016,20,"… By measuring their anisotropic diffusion, we can infer the underlying structure of neuronal … of studying brain connectivity using dMR imaging: neural fibers introduce anisotropic diffusion (…",ftluYByxN2YJ,"J Li, Y Shi, AW Toga - IEEE signal processing magazine, 2016 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/7461015/,unknown,unknown
The influence of construction methodology on structural brain network measures: A review,"S Qi, S Meesters, K Nicolay…",2015,129,… Structural brain networks based on diffusion MRI and … in the reports about specific network measures. It is hypothesized that … their influences on network measures. It is found that most …,PxOqLZhNooYJ,"S Qi, S Meesters, K Nicolay… - Journal of neuroscience …, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0165027015002332,unknown,unknown
Network diffusion accurately models the relationship between structural and functional brain connectivity networks,"F Abdelnour, HU Voss, A Raj",2014,346,"… in capturing the brain's long-range second order correlation structure that governs the … a linear network of brain dynamics based on graph diffusion, whereby the diffusing quantity …",jZvVUHwLwY4J,"F Abdelnour, HU Voss, A Raj - Neuroimage, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811913012597,unknown,unknown
Mapping structural connectivity using diffusion MRI: Challenges and opportunities,"CH Yeh, DK Jones, X Liang…",2021,284,… connectivity diagram of the brain network and can be derived from functional or structural … term “graph” to depict the connections and interactions of a network. A graph is composed of a …,BcZVSOjCpSMJ,"CH Yeh, DK Jones, X Liang… - … Resonance Imaging, 2021 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.27188,unknown,unknown
Imaging brain microstructure with diffusion MRI: practicality and applications,"DC Alexander, TB Dyrby, M Nilsson…",2019,570,"… brain connection largely depends on the target region,37, 38 and varies among species for the same connection.… In the early days of diffusion tensor imaging (DTI)123 it was hoped that …",TmHHVuUz6o4J,"DC Alexander, TB Dyrby, M Nilsson… - NMR in …, 2019 - Wiley Online Library",[],https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3841,unknown,unknown
Challenges and limitations of quantifying brain connectivity in vivo with diffusion MRI,DK Jones,2010,404,"… uses of diffusion MRI to quantify white matter connectivity. … the shortcomings of the use of diffusion MRI out in the open – … by those who are developing diffusion MRI methods, and the …",snYQy3aJJeEJ,"DK Jones - Imaging in Medicine, 2010 - exploredti.com",[],http://www.exploredti.com/references/Jones10.pdf,unknown,unknown
"Multimodal functional and structural brain connectivity analysis in autism: A preliminary integrated approach with EEG, fMRI, and DTI","BA Cociu, S Das, L Billeci, W Jamal…",2017,58,"… Here, we explore how the structural brain network correlate with the functional brain network, … In diffusion MRI, the quantity measured relates to the three-dimensional organization of the …",uPdO8XAIbyEJ,"BA Cociu, S Das, L Billeci, W Jamal… - … on Cognitive and …, 2017 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/7875078/,unknown,unknown
Structurally constrained effective brain connectivity,"A Crimi, L Dodero, F Sambataro, V Murino, D Sona",2021,45,"… In practice, an initial structural connectivity representation is re-weighted to explain the … the structural connectivity prior. The model has been designed to also include indirect connections…",H9O7_OcVfC4J,"A Crimi, L Dodero, F Sambataro, V Murino, D Sona - NeuroImage, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811921005644,unknown,unknown
Co-analysis of brain structure and function using fMRI and diffusion-weighted imaging,"JS Phillips, AS Greenberg, JA Pyles…",2012,21,"… DTI protocols measure diffusion in a small number of directions (eg, 6 or 12), we employ a … to improve models of disrupted or pathological brain connection, such as may occur in TBI or …",Wvk0zjVqM7UJ,"JS Phillips, AS Greenberg, JA Pyles… - Journal of …, 2012 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC3520572/,unknown,unknown
"Building connectomes using diffusion MRI: why, how and but","SN Sotiropoulos, A Zalesky",2019,372,… We argue that diffusion MRI-based connectome mapping methods are still … brain connectivity3 sheds light on the functional relevance of white matter pathways. Anatomical connections …,paQfPtEdAnQJ,"SN Sotiropoulos, A Zalesky - NMR in Biomedicine, 2019 - Wiley Online Library",[],https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3752,unknown,unknown
CNTNAP2 polymorphisms and structural brain connectivity: a diffusion-tensor imaging study,"CC von Hohenberg, MC Wigand, M Kubicki…",2013,51,"… synchronization and brain connectivity. In this study, we assessed the relationship between Diffusion Tensor Imaging (DTI), a putative marker of anatomical brain connectivity, and …",9UlH3N_1lnoJ,"CC von Hohenberg, MC Wigand, M Kubicki… - Journal of psychiatric …, 2013 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0022395613002148,unknown,unknown
Test–retest reliability of structural brain networks from diffusion MRI,"CR Buchanan, CR Pernet, KJ Gorgolewski, AJ Storkey…",2014,188,"… Structural brain networks constructed from diffusion MRI (… in various disorders affecting brain connectivity. However, few … varying several factors affecting network construction using ten …",Q_ARO1XJYrUJ,"CR Buchanan, CR Pernet, KJ Gorgolewski, AJ Storkey… - Neuroimage, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811913009907,unknown,unknown
The effect and reproducibility of different clinical DTI gradient sets on small world brain connectivity measures,"MJ Vaessen, PAM Hofman, HN Tijssen, AP Aldenkamp…",2010,152,"… structural networks in the brain can be obtained in-vivo by performing tractography on diffusion tensor imaging (DTI… of network properties derived from whole brain tractography data, …",3NLiSe02zY0J,"MJ Vaessen, PAM Hofman, HN Tijssen, AP Aldenkamp… - Neuroimage, 2010 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811910002818,unknown,unknown
